,Tweet,Sarcasm (yes/no)
1930,the concert are genuinely amazing.,no
1931,I genuinely love the conference.,no
1932,"Had a the game, best experience ever. Not.",yes
1933,I genuinely love the concert.,no
1934,"Everyone loves musicians, right?",yes
1935,I am always excited for doctors.,no
1936,Nothing better than a doctors moment.,yes
1937,"athletes are so wonderful, said no one ever.",yes
1938,scientists have always been great.,no
1939,Can't wait for more of this book.,yes
1940,"Everyone loves musicians, right?",yes
1941,Because my new phone really make everything better.,yes
1942,"Had a scientists, best experience ever. Not.",yes
1943,athletes have always been great.,no
1944,I am always excited for the concert.,no
1945,"Oh great, another vegetarians. Just what I needed.",yes
1946,Can't wait for more of the game.,no
1947,Can't wait for more of my new phone.,yes
1948,"Oh great, another the concert. Just what I needed.",yes
1949,I genuinely love this movie.,no
1950,"Everyone loves my new phone, right?",yes
1951,I find athletes to be wonderful.,no
1952,my new phone are genuinely amazing.,no
1953,Nothing better than a the game moment.,yes
1954,Because the game really make everything better.,yes
1955,Can't wait for more of athletes.,no
1956,Nothing better than a the conference moment.,yes
1957,"musicians are so wonderful, said no one ever.",yes
1958,I genuinely love the meal.,no
1959,"Oh great, another the workshop. Just what I needed.",yes
1960,I genuinely love this book.,no
1961,Can't wait for more of artists.,yes
1962,musicians are truly inspiring.,no
1963,"Had a the game, best experience ever. Not.",yes
1964,"Everyone loves this movie, right?",yes
1965,I find this book to be wonderful.,no
1966,"Oh great, another this movie. Just what I needed.",yes
1967,Had a great time with this movie.,no
1968,I genuinely love writers.,no
1969,"vegetarians are so wonderful, said no one ever.",yes
1970,"Oh great, another the concert. Just what I needed.",yes
1971,"Oh great, another the game. Just what I needed.",yes
1972,this book have always been great.,no
1973,Had a great time with the meal.,no
1974,"Oh great, another the workshop. Just what I needed.",yes
1975,Because the conference really make everything better.,yes
1976,"Had a my new phone, best experience ever. Not.",yes
1977,"Oh great, another vegetarians. Just what I needed.",yes
1978,"Everyone loves the meal, right?",yes
1979,Nothing better than a the concert moment.,yes
1980,I am always excited for artists.,no
1981,Nothing better than a the concert moment.,yes
1982,Because athletes really make everything better.,yes
1983,Can't wait for more of musicians.,no
1984,"Everyone loves this movie, right?",yes
1985,Nothing better than a this book moment.,yes
1986,I just love when this movie happens.,yes
1987,"Had a the game, best experience ever. Not.",yes
1988,I genuinely love my new phone.,no
1989,"Everyone loves musicians, right?",yes
1990,"scientists are so wonderful, said no one ever.",yes
1991,"Had a my new phone, best experience ever. Not.",yes
1992,I genuinely love artists.,no
1993,Nothing better than a doctors moment.,yes
1994,"Had a scientists, best experience ever. Not.",yes
1995,this book are genuinely amazing.,no
1996,the meal are truly inspiring.,no
1997,"Oh great, another the workshop. Just what I needed.",yes
1998,"Everyone loves the conference, right?",yes
1999,Can't wait for more of this movie.,no
2000,this book are truly inspiring.,no
2001,I just love when the meal happens.,yes
2002,I genuinely love artists.,no
2003,I genuinely love scientists.,no
2004,I am always excited for my new phone.,no
2005,"Had a scientists, best experience ever. Not.",yes
2006,Nothing better than a scientists moment.,yes
2007,the concert are truly inspiring.,no
2008,Nothing better than a this book moment.,yes
2009,Can't wait for more of musicians.,no
2010,"Oh great, another the meal. Just what I needed.",yes
2011,I am always excited for the workshop.,no
2012,Can't wait for more of athletes.,no
2013,"the game are so wonderful, said no one ever.",yes
2014,Because my new phone really make everything better.,yes
2015,I find writers to be wonderful.,no
2016,I find the game to be wonderful.,no
2017,Can't wait for more of writers.,yes
2018,artists are genuinely amazing.,no
2019,Can't wait for more of doctors.,no
2020,engineers are genuinely amazing.,no
2021,Can't wait for more of doctors.,no
2022,"Oh great, another scientists. Just what I needed.",yes
2023,engineers are genuinely amazing.,no
2024,I find engineers to be wonderful.,no
2025,Had a great time with scientists.,no
2026,I am always excited for this movie.,no
2027,I just love when artists happens.,yes
2028,this book are genuinely amazing.,no
2029,"Oh great, another vegetarians. Just what I needed.",yes
2030,I genuinely love the concert.,no
2031,"Oh great, another this book. Just what I needed.",yes
2032,Had a great time with my new phone.,no
2033,Can't wait for more of the meal.,no
2034,Because the game really make everything better.,yes
2035,I am always excited for the conference.,no
2036,Can't wait for more of musicians.,yes
2037,Can't wait for more of the workshop.,yes
2038,Can't wait for more of the concert.,yes
2039,I genuinely love athletes.,no
2040,"Everyone loves artists, right?",yes
2041,doctors are genuinely amazing.,no
2042,"Oh great, another my new phone. Just what I needed.",yes
2043,Because the concert really make everything better.,yes
2044,"Everyone loves doctors, right?",yes
2045,Because athletes really make everything better.,yes
2046,Nothing better than a the conference moment.,yes
2047,"this movie are so wonderful, said no one ever.",yes
2048,Nothing better than a scientists moment.,yes
2049,I just love when the conference happens.,yes
2050,I find this movie to be wonderful.,no
2051,Nothing better than a this movie moment.,yes
2052,Because the game really make everything better.,yes
2053,scientists have always been great.,no
2054,"Had a the game, best experience ever. Not.",yes
2055,Nothing better than a musicians moment.,yes
2056,Can't wait for more of scientists.,no
2057,I am always excited for the game.,no
2058,I am always excited for doctors.,no
2059,engineers are truly inspiring.,no
2060,Nothing better than a the conference moment.,yes
2061,Had a great time with the meal.,no
2062,Because musicians really make everything better.,yes
2063,"Had a the concert, best experience ever. Not.",yes
2064,Can't wait for more of the concert.,no
2065,I find doctors to be wonderful.,no
2066,Nothing better than a the concert moment.,yes
2067,"Had a this book, best experience ever. Not.",yes
2068,I genuinely love the workshop.,no
2069,Can't wait for more of the conference.,no
2070,I just love when my new phone happens.,yes
2071,I find engineers to be wonderful.,no
2072,"Everyone loves engineers, right?",yes
2073,"Everyone loves engineers, right?",yes
2074,"the conference are so wonderful, said no one ever.",yes
2075,the meal are genuinely amazing.,no
2076,the game are truly inspiring.,no
2077,"Had a musicians, best experience ever. Not.",yes
2078,I just love when artists happens.,yes
2079,Because engineers really make everything better.,yes
2080,"Everyone loves athletes, right?",yes
2081,Can't wait for more of athletes.,no
2082,doctors are truly inspiring.,no
2083,artists have always been great.,no
2084,"Oh great, another my new phone. Just what I needed.",yes
2085,Nothing better than a the workshop moment.,yes
2086,Nothing better than a scientists moment.,yes
2087,I find this movie to be wonderful.,no
2088,"Everyone loves vegetarians, right?",yes
2089,the concert have always been great.,no
2090,doctors have always been great.,no
2091,I genuinely love the workshop.,no
2092,I just love when the game happens.,yes
2093,doctors are genuinely amazing.,no
2094,"engineers are so wonderful, said no one ever.",yes
2095,Had a great time with this movie.,no
2096,"Had a athletes, best experience ever. Not.",yes
2097,I am always excited for this book.,no
2098,"this book are so wonderful, said no one ever.",yes
2099,Because this book really make everything better.,yes
2100,I just love when the workshop happens.,yes
2101,"Everyone loves engineers, right?",yes
2102,I genuinely love this book.,no
2103,Nothing better than a my new phone moment.,yes
2104,I genuinely love the game.,no
2105,Can't wait for more of the workshop.,yes
2106,Because athletes really make everything better.,yes
2107,Nothing better than a scientists moment.,yes
2108,"Oh great, another the game. Just what I needed.",yes
2109,I just love when the concert happens.,yes
2110,Can't wait for more of musicians.,yes
2111,"Had a my new phone, best experience ever. Not.",yes
2112,artists are truly inspiring.,no
2113,I am always excited for the game.,no
2114,I am always excited for athletes.,no
2115,engineers are truly inspiring.,no
2116,I am always excited for the meal.,no
2117,I just love when the workshop happens.,yes
2118,I am always excited for this movie.,no
2119,the concert have always been great.,no
2120,I find my new phone to be wonderful.,no
2121,"Had a vegetarians, best experience ever. Not.",yes
2122,I am always excited for the conference.,no
2123,I genuinely love the concert.,no
2124,Because this movie really make everything better.,yes
2125,Can't wait for more of musicians.,yes
2126,doctors are genuinely amazing.,no
2127,doctors are genuinely amazing.,no
2128,"Everyone loves the workshop, right?",yes
2129,"Oh great, another my new phone. Just what I needed.",yes
2130,"Oh great, another the game. Just what I needed.",yes
2131,I find this movie to be wonderful.,no
2132,"Everyone loves the meal, right?",yes
2133,"Oh great, another the conference. Just what I needed.",yes
2134,Can't wait for more of writers.,yes
2135,I am always excited for my new phone.,no
2136,I am always excited for engineers.,no
2137,I genuinely love this movie.,no
2138,Can't wait for more of the workshop.,no
2139,Had a great time with the concert.,no
2140,I am always excited for vegetarians.,no
2141,Can't wait for more of athletes.,no
2142,the game have always been great.,no
2143,I genuinely love the concert.,no
2144,Can't wait for more of the game.,no
2145,I am always excited for engineers.,no
2146,Can't wait for more of vegetarians.,no
2147,"Everyone loves this movie, right?",yes
2148,Can't wait for more of the concert.,yes
2149,Can't wait for more of the workshop.,no
2150,my new phone are truly inspiring.,no
2151,"Everyone loves musicians, right?",yes
2152,"Everyone loves scientists, right?",yes
2153,I am always excited for the game.,no
2154,Because the meal really make everything better.,yes
